height,weight,gender,age,form,shoulder,sleeve,neck,chest,waist,stomach,hip,front_jacket,biceps,armhole,front_vest,back_length,crotch,pants_length,thight,lower_thight,calves,leg_opening_width
0.0,0.0,1,21,2,0.0,0.0,0.0,0.0,60,72,84,96,26,22,99,44,24,96,42,37,30,20
160.0,60.0,2,49,4,43.0,57.0,40.0,93.0,81,90,119,92,50,25,100,46,35,102,59,47,35,18
0.0,0.0,2,35,3,0.0,0.0,0.0,0.0,60,88,87,99,34,23,102,42,23,81,51,37,30,18
160.0,59.0,2,38,3,43.0,0.0,0.0,91.0,67,71,102,94,32,21,85,40,20,96,53,31,40,24
160.0,62.0,1,24,5,43.0,0.0,0.0,95.0,66,94,87,101,34,25,86,54,29,82,55,38,34,22
147.0,46.0,2,39,4,0.0,0.0,0.0,0.0,92,103,109,129,37,20,119,64,31,100,76,44,36,28
168.0,68.0,2,23,5,0.0,0.0,0.0,0.0,71,91,100,82,30,24,84,40,28,98,41,36,36,18
158.0,70.0,1,16,2,44.0,0.0,0.0,100.0,79,84,92,93,25,24,86,53,25,99,60,30,33,16
0.0,0.0,2,24,4,0.0,0.0,0.0,0.0,117,89,99,129,39,24,124,73,35,109,50,36,42,30
0.0,0.0,2,25,5,0.0,0.0,0.0,0.0,78,98,93,99,27,25,83,58,26,97,49,37,33,18
168.0,59.0,1,27,4,43.0,0.0,0.0,89.0,78,77,83,86,31,21,89,46,24,77,57,34,39,23
164.0,75.0,1,34,3,0.0,0.0,0.0,0.0,83,81,121,120,42,22,101,79,28,109,59,36,42,18
168.0,73.0,2,48,1,45.0,0.0,0.0,101.0,74,97,91,126,46,23,115,50,34,88,67,44,48,22
0.0,0.0,1,47,5,45.0,0.0,0.0,99.0,80,79,85,103,31,23,85,45,29,98,60,35,34,29
164.0,58.0,1,45,2,44.0,57.0,38.0,93.0,85,80,93,112,34,23,110,51,27,95,57,35,48,17
0.0,0.0,2,49,2,0.0,0.0,0.0,0.0,70,92,93,110,41,21,128,73,27,102,72,35,46,25
171.0,75.0,2,42,3,0.0,0.0,0.0,0.0,63,80,98,96,35,23,96,56,23,93,50,34,36,23
171.0,63.0,2,16,4,0.0,0.0,0.0,0.0,60,96,81,105,28,20,105,40,20,94,45,33,38,27
0.0,0.0,1,31,2,0.0,0.0,0.0,0.0,66,91,91,86,32,25,80,60,23,83,50,32,35,15
0.0,0.0,2,32,3,45.0,0.0,0.0,100.0,91,83,91,96,45,24,97,63,33,94,67,36,44,25
0.0,0.0,2,28,1,0.0,0.0,0.0,0.0,81,96,110,80,32,25,82,48,22,78,48,38,37,22
174.0,74.0,1,44,4,46.0,0.0,0.0,95.0,76,78,93,98,31,22,104,53,21,80,43,32,37,24
160.0,55.0,2,35,2,0.0,0.0,0.0,0.0,94,81,125,90,43,24,94,52,33,110,59,41,46,20
0.0,0.0,2,39,5,0.0,0.0,0.0,0.0,62,90,81,100,28,24,99,57,20,97,58,34,32,20
157.0,49.0,1,36,3,0.0,0.0,0.0,0.0,64,85,97,82,27,20,82,56,30,96,60,40,33,21
0.0,0.0,1,30,4,0.0,0.0,0.0,0.0,98,109,92,113,44,24,115,60,26,84,56,46,48,27
170.0,75.0,2,44,2,45.0,0.0,0.0,106.0,83,109,111,122,37,24,103,62,33,84,78,48,39,18
173.0,71.0,1,49,1,45.0,61.5,42.5,104.0,84,82,100,90,30,22,90,42,29,75,56,30,35,24
110.0,22.0,2,24,1,0.0,0.0,0.0,0.0,85,82,95,107,43,24,101,53,31,93,69,47,47,28
0.0,0.0,2,16,3,0.0,0.0,0.0,0.0,64,83,96,96,26,24,101,48,23,98,59,40,40,20
160.0,50.0,1,30,5,0.0,0.0,0.0,0.0,90,100,109,97,29,23,101,44,28,74,44,37,35,21
165.0,58.0,1,19,3,42.0,0.0,0.0,92.0,100,118,93,128,46,20,96,78,30,88,58,41,43,19
167.0,65.0,1,47,5,0.0,0.0,0.0,0.0,71,109,115,105,43,23,119,49,31,80,55,38,49,30
